epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.392,0.90738,0.46379,0.9135,0.93598,0.99112,0.99105,0.76139,0.87761,0.42235,0.90786,0.000182271,0.000182271,0.000182271
43,596.773,0.90843,0.46034,0.91041,0.90827,0.9939,0.99017,0.7554,0.86216,0.41187,0.90246,0.000177692,0.000177692,0.000177692
44,611.034,0.89499,0.45231,0.9028,0.90052,0.99352,0.99077,0.76564,0.85469,0.41084,0.8968,0.000173114,0.000173114,0.000173114
45,625.339,0.90335,0.45308,0.90299,0.95127,0.99206,0.99178,0.76562,0.84484,0.40363,0.89858,0.000168535,0.000168535,0.000168535
46,639.451,0.87799,0.44815,0.89989,0.95533,0.98779,0.99229,0.77646,0.84538,0.40527,0.89651,0.000163956,0.000163956,0.000163956
47,653.844,0.89623,0.45428,0.90556,0.95385,0.99313,0.99303,0.7786,0.82749,0.39895,0.89326,0.000159377,0.000159377,0.000159377
48,668.255,0.87817,0.45233,0.89634,0.93811,0.99367,0.99275,0.77808,0.81854,0.39439,0.89001,0.000154799,0.000154799,0.000154799
49,682.476,0.90307,0.45805,0.90824,0.95221,0.99185,0.9924,0.77418,0.84504,0.40176,0.89544,0.00015022,0.00015022,0.00015022
50,696.564,0.89461,0.4428,0.90739,0.97536,0.98227,0.99278,0.77165,0.826,0.40043,0.89181,0.000145641,0.000145641,0.000145641
51,710.609,0.88315,0.43971,0.89894,0.96678,0.98946,0.99262,0.77196,0.84918,0.40775,0.89668,0.000141062,0.000141062,0.000141062
52,724.708,0.86951,0.44068,0.89893,0.96811,0.9859,0.99286,0.77046,0.83397,0.3985,0.89067,0.000136484,0.000136484,0.000136484
53,738.908,0.8681,0.43064,0.89658,0.95577,0.98987,0.96918,0.76603,0.80969,0.38868,0.88495,0.000131905,0.000131905,0.000131905
54,753.078,0.86994,0.434,0.89665,0.95372,0.98939,0.96902,0.75599,0.81452,0.39076,0.8873,0.000127326,0.000127326,0.000127326
55,767.296,0.85534,0.42808,0.89585,0.95331,0.99121,0.96927,0.76807,0.78634,0.38239,0.8798,0.000122747,0.000122747,0.000122747
56,781.55,0.86517,0.43382,0.89718,0.96221,0.98964,0.99288,0.7901,0.78826,0.38704,0.87903,0.000118169,0.000118169,0.000118169
